alpha,phi,h
0.300000,0.870400,0.646800
0.542857,0.800650,0.543300
0.571429,0.562350,0.195300
0.157143,0.222950,0.397100
0.400000,0.293300,0.404300
0.171429,0.174750,0.069900
0.628571,0.493750,0.548800
0.914286,0.034850,0.848800
0.457143,0.830100,0.103600
0.371429,0.249000,0.756700
0.300000,0.362450,0.915500
0.228571,0.198250,0.510700
0.371429,0.363500,0.768800
0.442857,0.708650,0.796200
0.100000,0.057700,0.579400
0.571429,0.340050,0.908700
0.071429,0.022150,0.856700
0.942857,0.686300,0.222100
0.600000,0.888600,0.167400
0.500000,0.378600,0.800200
0.285714,0.878950,0.600500
0.942857,0.882450,0.388800
0.514286,0.648800,0.424700
0.371429,0.401050,0.583300
0.100000,0.777750,0.163400
0.071429,0.812900,0.789200
0.900000,0.059300,0.904000
0.942857,0.849350,0.877500
0.457143,0.894050,0.940700
0.328571,0.210550,0.200700
0.857143,0.661950,0.862000
0.842857,0.102350,0.973900
0.200000,0.975500,0.106000
0.485714,0.254350,0.919500
0.742857,0.943150,0.104700
0.128571,0.363850,0.923700
0.500000,0.617250,0.535600
0.071429,0.759800,0.001500
0.571429,0.838550,0.532300
0.300000,0.844100,0.254700
0.871429,0.620500,0.175200
0.242857,0.221300,0.601300
0.571429,0.581800,0.408400
0.742857,0.751150,0.699600
0.742857,0.926550,0.444000
0.757143,0.128700,0.967000
0.957143,0.211350,0.689300
0.071429,0.747350,0.374300
0.342857,0.617950,0.729800
0.114286,0.571150,0.110300
0.685714,0.166850,0.877700
0.028571,0.934950,0.887200
0.085714,0.455350,0.251900
0.685714,0.242150,0.808800
0.328571,0.553700,0.407300
0.114286,0.121950,0.048400
0.514286,0.900600,0.490400
0.457143,0.648400,0.445200
0.642857,0.270250,0.308500
0.028571,0.945550,0.269000
0.700000,0.258800,0.936100
0.442857,0.771000,0.838700
0.614286,0.467200,0.018300
0.428571,0.004150,0.343800
0.800000,0.662050,0.500400
0.328571,0.005650,0.427800
0.057143,0.211500,0.308700
0.171429,0.392850,0.098300
0.042857,0.557950,0.599200
0.600000,0.414750,0.562500
0.214286,0.678650,0.463300
0.600000,0.181950,0.789300
0.000000,0.520550,0.724000
0.500000,0.845100,0.462300
0.614286,0.757050,0.008000
0.400000,0.034750,0.900800
0.428571,0.572600,0.255600
0.500000,0.365550,0.019300
0.742857,0.473150,0.172900
0.900000,0.802950,0.829300
0.828571,0.646100,0.156200
0.957143,0.929700,0.030900
0.957143,0.413350,0.495100
0.728571,0.737300,0.046000
0.714286,0.442200,0.219800
0.742857,0.757500,0.216500
0.114286,0.841700,0.351300
0.585714,0.720050,0.917000
0.114286,0.184650,0.270600
0.885714,0.283400,0.903100
0.642857,0.484100,0.908100
0.000000,0.749500,0.005400
0.314286,0.920850,0.115400
0.785714,0.782400,0.738900
0.000000,0.680000,0.238400
0.642857,0.657350,0.953700
0.114286,0.857100,0.879900
0.957143,0.607350,0.826600
0.600000,0.864900,0.112300
0.828571,0.742750,0.735900
0.442857,0.502250,0.375600
